ABSENCE [('Ost-Berlin', 0.24294942617416382), ('sowjetischen_Streitkraefte', 0.24120886623859406), ('Kriegszeiten', 0.23022602498531342), ('Otto_Grotewohl', 0.22882062196731567), ('DDR-', 0.2279011607170105), ('Frankfurter_Westend', 0.2263510525226593), ('DDR-Regimes', 0.22561179101467133), ('Rabat', 0.22538001835346222), ('DDR-Buerger', 0.224553644657135), ('DDR', 0.22431010007858276)] Abwesenheit 0
acre [('Nida-Ruemelin', 0.21989619731903076), ('DB_Regio', 0.2073565274477005), ('Gerd_Althoff', 0.20729641616344452), ('Modernere', 0.19375893473625183), ('Stilistische', 0.19121147692203522), ('Newtons', 0.1897311955690384), ('David_Ricardo', 0.18865931034088135), ('Technikgeschichte', 0.1866345852613449), ('Erfurter_Bahn', 0.1860419660806656), ('strange', 0.1854347586631775)] Joch 0
Add [('daher_ruehrt', 0.22400464117527008), ('Beginn_1990er', 0.20382244884967804), ('Waldboden', 0.19904902577400208), ('Huegeln', 0.19669154286384583), ('Wasservolumen', 0.19446802139282227), ('flach', 0.1903149038553238), ('Sumpfgebiet', 0.18935807049274445), ('Schilf', 0.18905416131019592), ('Kiefernwald', 0.18787065148353577), ('Grasbuescheln', 0.18692392110824585)] Addieren 0
Add [('daher_ruehrt', 0.22400464117527008), ('Beginn_1990er', 0.20382244884967804), ('Waldboden', 0.19904902577400208), ('Huegeln', 0.19669154286384583), ('Wasservolumen', 0.19446802139282227), ('flach', 0.1903149038553238), ('Sumpfgebiet', 0.18935807049274445), ('Schilf', 0.18905416131019592), ('Kiefernwald', 0.18787065148353577), ('Grasbuescheln', 0.18692392110824585)] Addieren 0
addition [('Maulbeerbaeumen', 0.21847760677337646), ('Tuerkei_Griechenland', 0.21839603781700134), ('Zedern', 0.20698697865009308), ('ass', 0.20534606277942657), ('Neukaledonien', 0.20484070479869843), ('Franzoesisch-Polynesien', 0.20483647286891937), ('Harissa', 0.2042505294084549), ('East_India', 0.20041148364543915), ('Spreu', 0.19962206482887268), ('geraeucherten', 0.19902315735816956)] Addition 0
addition [('Maulbeerbaeumen', 0.21847760677337646), ('Tuerkei_Griechenland', 0.21839603781700134), ('Zedern', 0.20698697865009308), ('ass', 0.20534606277942657), ('Neukaledonien', 0.20484070479869843), ('Franzoesisch-Polynesien', 0.20483647286891937), ('Harissa', 0.2042505294084549), ('East_India', 0.20041148364543915), ('Spreu', 0.19962206482887268), ('geraeucherten', 0.19902315735816956)] Zusatz 0
Advantage [('Laut_Berichten', 0.21460044384002686), ('ausmalen', 0.20595814287662506), ('abfielen', 0.2040223330259323), ('zehn', 0.2023012936115265), ('insgesamt_elf', 0.2000432163476944), ('fuenf', 0.19751940667629242), ('siebzehn', 0.19743606448173523), ('Buche_stehen', 0.19692744314670563), ('Sousa', 0.19648268818855286), ('fuenfzehn', 0.19630420207977295)] Vorteil 0
Advantage [('Laut_Berichten', 0.21460044384002686), ('ausmalen', 0.20595814287662506), ('abfielen', 0.2040223330259323), ('zehn', 0.2023012936115265), ('insgesamt_elf', 0.2000432163476944), ('fuenf', 0.19751940667629242), ('siebzehn', 0.19743606448173523), ('Buche_stehen', 0.19692744314670563), ('Sousa', 0.19648268818855286), ('fuenfzehn', 0.19630420207977295)] Vorteil 0
Advantage [('Laut_Berichten', 0.21460044384002686), ('ausmalen', 0.20595814287662506), ('abfielen', 0.2040223330259323), ('zehn', 0.2023012936115265), ('insgesamt_elf', 0.2000432163476944), ('fuenf', 0.19751940667629242), ('siebzehn', 0.19743606448173523), ('Buche_stehen', 0.19692744314670563), ('Sousa', 0.19648268818855286), ('fuenfzehn', 0.19630420207977295)] Vorzug 0
Advantage [('Laut_Berichten', 0.21460044384002686), ('ausmalen', 0.20595814287662506), ('abfielen', 0.2040223330259323), ('zehn', 0.2023012936115265), ('insgesamt_elf', 0.2000432163476944), ('fuenf', 0.19751940667629242), ('siebzehn', 0.19743606448173523), ('Buche_stehen', 0.19692744314670563), ('Sousa', 0.19648268818855286), ('fuenfzehn', 0.19630420207977295)] Vorteil 0
Age [('Wunsch_erfuellen', 0.2441861629486084), ('Jungvogel', 0.2436380237340927), ('Mannschaftsmitglied', 0.2401684820652008), ('Neptune', 0.23946835100650787), ('Pierrot', 0.23348063230514526), ('Bucht', 0.23095804452896118), ('Sybil', 0.226371169090271), ('Javert', 0.22533509135246277), ('Shep', 0.22492696344852448), ('Marceline', 0.22192148864269257)] generation 0
Age [('Wunsch_erfuellen', 0.2441861629486084), ('Jungvogel', 0.2436380237340927), ('Mannschaftsmitglied', 0.2401684820652008), ('Neptune', 0.23946835100650787), ('Pierrot', 0.23348063230514526), ('Bucht', 0.23095804452896118), ('Sybil', 0.226371169090271), ('Javert', 0.22533509135246277), ('Shep', 0.22492696344852448), ('Marceline', 0.22192148864269257)] Zeitalter 0
Age [('Wunsch_erfuellen', 0.2441861629486084), ('Jungvogel', 0.2436380237340927), ('Mannschaftsmitglied', 0.2401684820652008), ('Neptune', 0.23946835100650787), ('Pierrot', 0.23348063230514526), ('Bucht', 0.23095804452896118), ('Sybil', 0.226371169090271), ('Javert', 0.22533509135246277), ('Shep', 0.22492696344852448), ('Marceline', 0.22192148864269257)] Alter 0
Age [('Wunsch_erfuellen', 0.2441861629486084), ('Jungvogel', 0.2436380237340927), ('Mannschaftsmitglied', 0.2401684820652008), ('Neptune', 0.23946835100650787), ('Pierrot', 0.23348063230514526), ('Bucht', 0.23095804452896118), ('Sybil', 0.226371169090271), ('Javert', 0.22533509135246277), ('Shep', 0.22492696344852448), ('Marceline', 0.22192148864269257)] Alter 0
Age [('Wunsch_erfuellen', 0.2441861629486084), ('Jungvogel', 0.2436380237340927), ('Mannschaftsmitglied', 0.2401684820652008), ('Neptune', 0.23946835100650787), ('Pierrot', 0.23348063230514526), ('Bucht', 0.23095804452896118), ('Sybil', 0.226371169090271), ('Javert', 0.22533509135246277), ('Shep', 0.22492696344852448), ('Marceline', 0.22192148864269257)] zeit 0
Age [('Wunsch_erfuellen', 0.2441861629486084), ('Jungvogel', 0.2436380237340927), ('Mannschaftsmitglied', 0.2401684820652008), ('Neptune', 0.23946835100650787), ('Pierrot', 0.23348063230514526), ('Bucht', 0.23095804452896118), ('Sybil', 0.226371169090271), ('Javert', 0.22533509135246277), ('Shep', 0.22492696344852448), ('Marceline', 0.22192148864269257)] Epoche 0
Age [('Wunsch_erfuellen', 0.2441861629486084), ('Jungvogel', 0.2436380237340927), ('Mannschaftsmitglied', 0.2401684820652008), ('Neptune', 0.23946835100650787), ('Pierrot', 0.23348063230514526), ('Bucht', 0.23095804452896118), ('Sybil', 0.226371169090271), ('Javert', 0.22533509135246277), ('Shep', 0.22492696344852448), ('Marceline', 0.22192148864269257)] Periode 0
Age [('Wunsch_erfuellen', 0.2441861629486084), ('Jungvogel', 0.2436380237340927), ('Mannschaftsmitglied', 0.2401684820652008), ('Neptune', 0.23946835100650787), ('Pierrot', 0.23348063230514526), ('Bucht', 0.23095804452896118), ('Sybil', 0.226371169090271), ('Javert', 0.22533509135246277), ('Shep', 0.22492696344852448), ('Marceline', 0.22192148864269257)] Alter 0
Age [('Wunsch_erfuellen', 0.2441861629486084), ('Jungvogel', 0.2436380237340927), ('Mannschaftsmitglied', 0.2401684820652008), ('Neptune', 0.23946835100650787), ('Pierrot', 0.23348063230514526), ('Bucht', 0.23095804452896118), ('Sybil', 0.226371169090271), ('Javert', 0.22533509135246277), ('Shep', 0.22492696344852448), ('Marceline', 0.22192148864269257)] Lebenszeit 0
Age [('Wunsch_erfuellen', 0.2441861629486084), ('Jungvogel', 0.2436380237340927), ('Mannschaftsmitglied', 0.2401684820652008), ('Neptune', 0.23946835100650787), ('Pierrot', 0.23348063230514526), ('Bucht', 0.23095804452896118), ('Sybil', 0.226371169090271), ('Javert', 0.22533509135246277), ('Shep', 0.22492696344852448), ('Marceline', 0.22192148864269257)] Altern 0
Age [('Wunsch_erfuellen', 0.2441861629486084), ('Jungvogel', 0.2436380237340927), ('Mannschaftsmitglied', 0.2401684820652008), ('Neptune', 0.23946835100650787), ('Pierrot', 0.23348063230514526), ('Bucht', 0.23095804452896118), ('Sybil', 0.226371169090271), ('Javert', 0.22533509135246277), ('Shep', 0.22492696344852448), ('Marceline', 0.22192148864269257)] vergreisen 0
Age [('Wunsch_erfuellen', 0.2441861629486084), ('Jungvogel', 0.2436380237340927), ('Mannschaftsmitglied', 0.2401684820652008), ('Neptune', 0.23946835100650787), ('Pierrot', 0.23348063230514526), ('Bucht', 0.23095804452896118), ('Sybil', 0.226371169090271), ('Javert', 0.22533509135246277), ('Shep', 0.22492696344852448), ('Marceline', 0.22192148864269257)] Reifen 0
amount [('Westcott', 0.24971163272857666), ('Bruun', 0.24261285364627838), ('Barker', 0.24086569249629974), ('FRS', 0.23698635399341583), ('Coon', 0.2349274605512619), ('of_Civil', 0.23317724466323853), ('Tait', 0.23142370581626892), ('britischen_Royal', 0.23105774819850922), ('Fairbank', 0.22792033851146698), ('Weir', 0.22681885957717896)] Menge 0
amount [('Westcott', 0.24971163272857666), ('Bruun', 0.24261285364627838), ('Barker', 0.24086569249629974), ('FRS', 0.23698635399341583), ('Coon', 0.2349274605512619), ('of_Civil', 0.23317724466323853), ('Tait', 0.23142370581626892), ('britischen_Royal', 0.23105774819850922), ('Fairbank', 0.22792033851146698), ('Weir', 0.22681885957717896)] Anzahl 0
amount [('Westcott', 0.24971163272857666), ('Bruun', 0.24261285364627838), ('Barker', 0.24086569249629974), ('FRS', 0.23698635399341583), ('Coon', 0.2349274605512619), ('of_Civil', 0.23317724466323853), ('Tait', 0.23142370581626892), ('britischen_Royal', 0.23105774819850922), ('Fairbank', 0.22792033851146698), ('Weir', 0.22681885957717896)] Menge 0
amount [('Westcott', 0.24971163272857666), ('Bruun', 0.24261285364627838), ('Barker', 0.24086569249629974), ('FRS', 0.23698635399341583), ('Coon', 0.2349274605512619), ('of_Civil', 0.23317724466323853), ('Tait', 0.23142370581626892), ('britischen_Royal', 0.23105774819850922), ('Fairbank', 0.22792033851146698), ('Weir', 0.22681885957717896)] Betrag 0
Are [('Deutschen_Handballbundes', 0.23991690576076508), ('Bundesrepublik_Jugoslawien', 0.23107050359249115), ('fuenffachen', 0.21926942467689514), ('Zuschauer_verfolgten', 0.21842879056930542), ('Zuckerhut', 0.21477049589157104), ('Nichtteilnahme', 0.21427975594997406), ('bosnischen', 0.21293988823890686), ('Mitgliedsverbaenden', 0.2111443281173706), ('wiegt', 0.2110147327184677), ('Oliver_Bierhoff', 0.20932930707931519)] ar 0
Are [('Deutschen_Handballbundes', 0.23991690576076508), ('Bundesrepublik_Jugoslawien', 0.23107050359249115), ('fuenffachen', 0.21926942467689514), ('Zuschauer_verfolgten', 0.21842879056930542), ('Zuckerhut', 0.21477049589157104), ('Nichtteilnahme', 0.21427975594997406), ('bosnischen', 0.21293988823890686), ('Mitgliedsverbaenden', 0.2111443281173706), ('wiegt', 0.2110147327184677), ('Oliver_Bierhoff', 0.20932930707931519)] Sind 0
Are [('Deutschen_Handballbundes', 0.23991690576076508), ('Bundesrepublik_Jugoslawien', 0.23107050359249115), ('fuenffachen', 0.21926942467689514), ('Zuschauer_verfolgten', 0.21842879056930542), ('Zuckerhut', 0.21477049589157104), ('Nichtteilnahme', 0.21427975594997406), ('bosnischen', 0.21293988823890686), ('Mitgliedsverbaenden', 0.2111443281173706), ('wiegt', 0.2110147327184677), ('Oliver_Bierhoff', 0.20932930707931519)] Seid 0
Are [('Deutschen_Handballbundes', 0.23991690576076508), ('Bundesrepublik_Jugoslawien', 0.23107050359249115), ('fuenffachen', 0.21926942467689514), ('Zuschauer_verfolgten', 0.21842879056930542), ('Zuckerhut', 0.21477049589157104), ('Nichtteilnahme', 0.21427975594997406), ('bosnischen', 0.21293988823890686), ('Mitgliedsverbaenden', 0.2111443281173706), ('wiegt', 0.2110147327184677), ('Oliver_Bierhoff', 0.20932930707931519)] Sind 0
Are [('Deutschen_Handballbundes', 0.23991690576076508), ('Bundesrepublik_Jugoslawien', 0.23107050359249115), ('fuenffachen', 0.21926942467689514), ('Zuschauer_verfolgten', 0.21842879056930542), ('Zuckerhut', 0.21477049589157104), ('Nichtteilnahme', 0.21427975594997406), ('bosnischen', 0.21293988823890686), ('Mitgliedsverbaenden', 0.2111443281173706), ('wiegt', 0.2110147327184677), ('Oliver_Bierhoff', 0.20932930707931519)] Bist 0
Are [('Deutschen_Handballbundes', 0.23991690576076508), ('Bundesrepublik_Jugoslawien', 0.23107050359249115), ('fuenffachen', 0.21926942467689514), ('Zuschauer_verfolgten', 0.21842879056930542), ('Zuckerhut', 0.21477049589157104), ('Nichtteilnahme', 0.21427975594997406), ('bosnischen', 0.21293988823890686), ('Mitgliedsverbaenden', 0.2111443281173706), ('wiegt', 0.2110147327184677), ('Oliver_Bierhoff', 0.20932930707931519)] Sind 0
Are [('Deutschen_Handballbundes', 0.23991690576076508), ('Bundesrepublik_Jugoslawien', 0.23107050359249115), ('fuenffachen', 0.21926942467689514), ('Zuschauer_verfolgten', 0.21842879056930542), ('Zuckerhut', 0.21477049589157104), ('Nichtteilnahme', 0.21427975594997406), ('bosnischen', 0.21293988823890686), ('Mitgliedsverbaenden', 0.2111443281173706), ('wiegt', 0.2110147327184677), ('Oliver_Bierhoff', 0.20932930707931519)] Sind 0
Ares [('politischen_Umwaelzungen', 0.23291273415088654), ('Voelkerwanderungen', 0.2180282026529312), ('Stiffelio', 0.2115023136138916), ('Kollektivierung_Landwirtschaft', 0.208266481757164), ('Belegschaftszahlen', 0.20811766386032104), ('Abrissen', 0.2059488296508789), ('Zusammenbruchs', 0.2028254270553589), ('Kommt', 0.20252889394760132), ('zeitweiliger', 0.20175567269325256), ('durchmachte', 0.19828924536705017)] Ares 0
ARGUMENT [('Atombombenabwurf', 0.2479315847158432), ('Thatchers', 0.24436286091804504), ('Kriegszeiten', 0.24253560602664948), ('waehrend_Vietnamkrieges', 0.2324044406414032), ('Bombenangriffe', 0.2322610318660736), ('Bundeskanzler_Helmut', 0.2241910696029663), ('Kim_Il-sungs', 0.22415508329868317), ('Ho_Chi', 0.22332119941711426), ('Josip_Broz', 0.22293464839458466), ('Luftangriffen', 0.22060710191726685)] argument 0
ARGUMENT [('Atombombenabwurf', 0.2479315847158432), ('Thatchers', 0.24436286091804504), ('Kriegszeiten', 0.24253560602664948), ('waehrend_Vietnamkrieges', 0.2324044406414032), ('Bombenangriffe', 0.2322610318660736), ('Bundeskanzler_Helmut', 0.2241910696029663), ('Kim_Il-sungs', 0.22415508329868317), ('Ho_Chi', 0.22332119941711426), ('Josip_Broz', 0.22293464839458466), ('Luftangriffen', 0.22060710191726685)] argument 0
ARGUMENT [('Atombombenabwurf', 0.2479315847158432), ('Thatchers', 0.24436286091804504), ('Kriegszeiten', 0.24253560602664948), ('waehrend_Vietnamkrieges', 0.2324044406414032), ('Bombenangriffe', 0.2322610318660736), ('Bundeskanzler_Helmut', 0.2241910696029663), ('Kim_Il-sungs', 0.22415508329868317), ('Ho_Chi', 0.22332119941711426), ('Josip_Broz', 0.22293464839458466), ('Luftangriffen', 0.22060710191726685)] Argumentation 0
ARGUMENT [('Atombombenabwurf', 0.2479315847158432), ('Thatchers', 0.24436286091804504), ('Kriegszeiten', 0.24253560602664948), ('waehrend_Vietnamkrieges', 0.2324044406414032), ('Bombenangriffe', 0.2322610318660736), ('Bundeskanzler_Helmut', 0.2241910696029663), ('Kim_Il-sungs', 0.22415508329868317), ('Ho_Chi', 0.22332119941711426), ('Josip_Broz', 0.22293464839458466), ('Luftangriffen', 0.22060710191726685)] Argumentation 0
ARGUMENT [('Atombombenabwurf', 0.2479315847158432), ('Thatchers', 0.24436286091804504), ('Kriegszeiten', 0.24253560602664948), ('waehrend_Vietnamkrieges', 0.2324044406414032), ('Bombenangriffe', 0.2322610318660736), ('Bundeskanzler_Helmut', 0.2241910696029663), ('Kim_Il-sungs', 0.22415508329868317), ('Ho_Chi', 0.22332119941711426), ('Josip_Broz', 0.22293464839458466), ('Luftangriffen', 0.22060710191726685)] THEMA 0
ARGUMENT [('Atombombenabwurf', 0.2479315847158432), ('Thatchers', 0.24436286091804504), ('Kriegszeiten', 0.24253560602664948), ('waehrend_Vietnamkrieges', 0.2324044406414032), ('Bombenangriffe', 0.2322610318660736), ('Bundeskanzler_Helmut', 0.2241910696029663), ('Kim_Il-sungs', 0.22415508329868317), ('Ho_Chi', 0.22332119941711426), ('Josip_Broz', 0.22293464839458466), ('Luftangriffen', 0.22060710191726685)] THEMA 0
ARGUMENT [('Atombombenabwurf', 0.2479315847158432), ('Thatchers', 0.24436286091804504), ('Kriegszeiten', 0.24253560602664948), ('waehrend_Vietnamkrieges', 0.2324044406414032), ('Bombenangriffe', 0.2322610318660736), ('Bundeskanzler_Helmut', 0.2241910696029663), ('Kim_Il-sungs', 0.22415508329868317), ('Ho_Chi', 0.22332119941711426), ('Josip_Broz', 0.22293464839458466), ('Luftangriffen', 0.22060710191726685)] argument 0
ARGUMENT [('Atombombenabwurf', 0.2479315847158432), ('Thatchers', 0.24436286091804504), ('Kriegszeiten', 0.24253560602664948), ('waehrend_Vietnamkrieges', 0.2324044406414032), ('Bombenangriffe', 0.2322610318660736), ('Bundeskanzler_Helmut', 0.2241910696029663), ('Kim_Il-sungs', 0.22415508329868317), ('Ho_Chi', 0.22332119941711426), ('Josip_Broz', 0.22293464839458466), ('Luftangriffen', 0.22060710191726685)] argument 0
ARGUMENT [('Atombombenabwurf', 0.2479315847158432), ('Thatchers', 0.24436286091804504), ('Kriegszeiten', 0.24253560602664948), ('waehrend_Vietnamkrieges', 0.2324044406414032), ('Bombenangriffe', 0.2322610318660736), ('Bundeskanzler_Helmut', 0.2241910696029663), ('Kim_Il-sungs', 0.22415508329868317), ('Ho_Chi', 0.22332119941711426), ('Josip_Broz', 0.22293464839458466), ('Luftangriffen', 0.22060710191726685)] Streit 0
ARGUMENT [('Atombombenabwurf', 0.2479315847158432), ('Thatchers', 0.24436286091804504), ('Kriegszeiten', 0.24253560602664948), ('waehrend_Vietnamkrieges', 0.2324044406414032), ('Bombenangriffe', 0.2322610318660736), ('Bundeskanzler_Helmut', 0.2241910696029663), ('Kim_Il-sungs', 0.22415508329868317), ('Ho_Chi', 0.22332119941711426), ('Josip_Broz', 0.22293464839458466), ('Luftangriffen', 0.22060710191726685)] Streit 0
ARGUMENT [('Atombombenabwurf', 0.2479315847158432), ('Thatchers', 0.24436286091804504), ('Kriegszeiten', 0.24253560602664948), ('waehrend_Vietnamkrieges', 0.2324044406414032), ('Bombenangriffe', 0.2322610318660736), ('Bundeskanzler_Helmut', 0.2241910696029663), ('Kim_Il-sungs', 0.22415508329868317), ('Ho_Chi', 0.22332119941711426), ('Josip_Broz', 0.22293464839458466), ('Luftangriffen', 0.22060710191726685)] Diskussion 0
ARGUMENT [('Atombombenabwurf', 0.2479315847158432), ('Thatchers', 0.24436286091804504), ('Kriegszeiten', 0.24253560602664948), ('waehrend_Vietnamkrieges', 0.2324044406414032), ('Bombenangriffe', 0.2322610318660736), ('Bundeskanzler_Helmut', 0.2241910696029663), ('Kim_Il-sungs', 0.22415508329868317), ('Ho_Chi', 0.22332119941711426), ('Josip_Broz', 0.22293464839458466), ('Luftangriffen', 0.22060710191726685)] Diskussion 0
Artel [('NO', 0.27950891852378845), ('qualmt', 0.2713872194290161), ('Hallo', 0.26861733198165894), ('Brood', 0.26536691188812256), ('rattert', 0.26431959867477417), ('Qualm', 0.26139068603515625), ('Froesteln', 0.2601815164089203), ('Feine_Sahne', 0.26007863879203796), ('wetternet', 0.2591532766819), ('stickigen', 0.2587278485298157)] Artel 0
ATM [('testamentarisch', 0.26117661595344543), ('Beginen', 0.25162583589553833), ('bildete_Grundstock', 0.2397574782371521), ('Imola', 0.22726476192474365), ('vermachte', 0.22692255675792694), ('Woiwodschaft_Niederschlesien', 0.22552914917469025), ('Land_Sachsen-Anhalt', 0.22445878386497498), ('Heinz_Sielmann', 0.22324591875076294), ('Dariusz', 0.22142015397548676), ('Landgemeinde_gmina', 0.22119873762130737)] Geldautomat 0
ATM [('testamentarisch', 0.26117661595344543), ('Beginen', 0.25162583589553833), ('bildete_Grundstock', 0.2397574782371521), ('Imola', 0.22726476192474365), ('vermachte', 0.22692255675792694), ('Woiwodschaft_Niederschlesien', 0.22552914917469025), ('Land_Sachsen-Anhalt', 0.22445878386497498), ('Heinz_Sielmann', 0.22324591875076294), ('Dariusz', 0.22142015397548676), ('Landgemeinde_gmina', 0.22119873762130737)] Bankomat 0
b [('Geestruecken', 0.22665411233901978), ('Kiesgruben', 0.2208586484193802), ('Windhoek_Namibia', 0.21912498772144318), ('landwirtschaftlich_genutztes', 0.213730588555336), ('Olympiastadt', 0.2136794626712799), ('halbe_Autostunde', 0.21180982887744904), ('DDR-Buerger', 0.21050551533699036), ('Township', 0.20991994440555573), ('Eldoret', 0.20970295369625092), ('Koerbecke', 0.209217369556427)] h 0
b [('Geestruecken', 0.22665411233901978), ('Kiesgruben', 0.2208586484193802), ('Windhoek_Namibia', 0.21912498772144318), ('landwirtschaftlich_genutztes', 0.213730588555336), ('Olympiastadt', 0.2136794626712799), ('halbe_Autostunde', 0.21180982887744904), ('DDR-Buerger', 0.21050551533699036), ('Township', 0.20991994440555573), ('Eldoret', 0.20970295369625092), ('Koerbecke', 0.209217369556427)] h 0
Bag [('Sieger_hervorgehen', 0.2539832592010498), ('Kampanien', 0.23770050704479218), ('mitgekaempft', 0.22813661396503448), ('boxen', 0.22309935092926025), ('Pelotons', 0.2192903757095337), ('sinnvoll_waere', 0.2189740091562271), ('dritten_Runde', 0.21866075694561005), ('Lombardei', 0.21720309555530548), ('Region_Kampanien', 0.21665045619010925), ('Insel_Sardinien', 0.21662449836730957)] Beutel 0
Bag [('Sieger_hervorgehen', 0.2539832592010498), ('Kampanien', 0.23770050704479218), ('mitgekaempft', 0.22813661396503448), ('boxen', 0.22309935092926025), ('Pelotons', 0.2192903757095337), ('sinnvoll_waere', 0.2189740091562271), ('dritten_Runde', 0.21866075694561005), ('Lombardei', 0.21720309555530548), ('Region_Kampanien', 0.21665045619010925), ('Insel_Sardinien', 0.21662449836730957)] Beutel 0
Bag [('Sieger_hervorgehen', 0.2539832592010498), ('Kampanien', 0.23770050704479218), ('mitgekaempft', 0.22813661396503448), ('boxen', 0.22309935092926025), ('Pelotons', 0.2192903757095337), ('sinnvoll_waere', 0.2189740091562271), ('dritten_Runde', 0.21866075694561005), ('Lombardei', 0.21720309555530548), ('Region_Kampanien', 0.21665045619010925), ('Insel_Sardinien', 0.21662449836730957)] Tasche 0
