ace [('britisch-amerikanischen', 0.23717176914215088), ('Oland', 0.2329120934009552), ('fiktiven', 0.23180009424686432), ('Entstanden', 0.2246607393026352), ('Joerg_Mantzsch', 0.21548818051815033), ('Administrativ_gehoert', 0.21320520341396332), ('Comic-Reihe', 0.21080315113067627), ('Surreale', 0.210685133934021), ('of_Business', 0.20934410393238068), ('abgedruckte', 0.2089332640171051)] ASS 0
characteristic [('Ostpr', 0.20973114669322968), ('Wulffen', 0.20500841736793518), ('Sachsen-Coburg_Gotha', 0.20358604192733765), ('franzoesischer_Staatsbuerger', 0.20329132676124573), ('Schulzenhof', 0.202793687582016), ('Polignac', 0.20223991572856903), ('Grundrenten_Einnahmen', 0.19135117530822754), ('Gneisenau', 0.18679594993591309), ('Nebenlinie_Hauses', 0.18614648282527924), ('Landkreis_Bartenstein', 0.18556590378284454)] Charakteristisch 0
characteristic [('Ostpr', 0.20973114669322968), ('Wulffen', 0.20500841736793518), ('Sachsen-Coburg_Gotha', 0.20358604192733765), ('franzoesischer_Staatsbuerger', 0.20329132676124573), ('Schulzenhof', 0.202793687582016), ('Polignac', 0.20223991572856903), ('Grundrenten_Einnahmen', 0.19135117530822754), ('Gneisenau', 0.18679594993591309), ('Nebenlinie_Hauses', 0.18614648282527924), ('Landkreis_Bartenstein', 0.18556590378284454)] Eigenart 0
characteristic [('Ostpr', 0.20973114669322968), ('Wulffen', 0.20500841736793518), ('Sachsen-Coburg_Gotha', 0.20358604192733765), ('franzoesischer_Staatsbuerger', 0.20329132676124573), ('Schulzenhof', 0.202793687582016), ('Polignac', 0.20223991572856903), ('Grundrenten_Einnahmen', 0.19135117530822754), ('Gneisenau', 0.18679594993591309), ('Nebenlinie_Hauses', 0.18614648282527924), ('Landkreis_Bartenstein', 0.18556590378284454)] Eigenschaft 0
characteristic [('Ostpr', 0.20973114669322968), ('Wulffen', 0.20500841736793518), ('Sachsen-Coburg_Gotha', 0.20358604192733765), ('franzoesischer_Staatsbuerger', 0.20329132676124573), ('Schulzenhof', 0.202793687582016), ('Polignac', 0.20223991572856903), ('Grundrenten_Einnahmen', 0.19135117530822754), ('Gneisenau', 0.18679594993591309), ('Nebenlinie_Hauses', 0.18614648282527924), ('Landkreis_Bartenstein', 0.18556590378284454)] Kennwert 0
characteristic [('Ostpr', 0.20973114669322968), ('Wulffen', 0.20500841736793518), ('Sachsen-Coburg_Gotha', 0.20358604192733765), ('franzoesischer_Staatsbuerger', 0.20329132676124573), ('Schulzenhof', 0.202793687582016), ('Polignac', 0.20223991572856903), ('Grundrenten_Einnahmen', 0.19135117530822754), ('Gneisenau', 0.18679594993591309), ('Nebenlinie_Hauses', 0.18614648282527924), ('Landkreis_Bartenstein', 0.18556590378284454)] kennzeichnend 0
characteristic [('Ostpr', 0.20973114669322968), ('Wulffen', 0.20500841736793518), ('Sachsen-Coburg_Gotha', 0.20358604192733765), ('franzoesischer_Staatsbuerger', 0.20329132676124573), ('Schulzenhof', 0.202793687582016), ('Polignac', 0.20223991572856903), ('Grundrenten_Einnahmen', 0.19135117530822754), ('Gneisenau', 0.18679594993591309), ('Nebenlinie_Hauses', 0.18614648282527924), ('Landkreis_Bartenstein', 0.18556590378284454)] Merkmal 0
characteristic [('Ostpr', 0.20973114669322968), ('Wulffen', 0.20500841736793518), ('Sachsen-Coburg_Gotha', 0.20358604192733765), ('franzoesischer_Staatsbuerger', 0.20329132676124573), ('Schulzenhof', 0.202793687582016), ('Polignac', 0.20223991572856903), ('Grundrenten_Einnahmen', 0.19135117530822754), ('Gneisenau', 0.18679594993591309), ('Nebenlinie_Hauses', 0.18614648282527924), ('Landkreis_Bartenstein', 0.18556590378284454)] typisch 0
Cipher [('staatlich_anerkannter', 0.20274057984352112), ('erstellt_seither', 0.19567465782165527), ('Liste_Bodendenkmale', 0.1938248574733734), ('Surat', 0.1885114312171936), ('Santo_Tirso', 0.18529222905635834), ('Neben_Schauspielerei', 0.18436728417873383), ('Seine_Produktionskosten', 0.18405911326408386), ('U=_Unentschieden', 0.18302571773529053), ('Rundreise', 0.1789652705192566), ('anwaltliche_Zulassung', 0.17829735577106476)] Ziffer 0
Circulation [('Feinschliff', 0.2811087965965271), ('Gutes', 0.27470141649246216), ('Besser_lief', 0.2641903758049011), ('Zweite_Juristische', 0.26247501373291016), ('Siegersong', 0.26022249460220337), ('DAAD-Stipendium', 0.2533324956893921), ('Probenwochenende', 0.24842941761016846), ('WM-Aus', 0.24826540052890778), ('Zum_20-jaehrigen', 0.24670588970184326), ('zwoelften_Platz', 0.24271494150161743)] Blutkreislauf 0
Circulation [('Feinschliff', 0.2811087965965271), ('Gutes', 0.27470141649246216), ('Besser_lief', 0.2641903758049011), ('Zweite_Juristische', 0.26247501373291016), ('Siegersong', 0.26022249460220337), ('DAAD-Stipendium', 0.2533324956893921), ('Probenwochenende', 0.24842941761016846), ('WM-Aus', 0.24826540052890778), ('Zum_20-jaehrigen', 0.24670588970184326), ('zwoelften_Platz', 0.24271494150161743)] Geldkreislauf 0
Circulation [('Feinschliff', 0.2811087965965271), ('Gutes', 0.27470141649246216), ('Besser_lief', 0.2641903758049011), ('Zweite_Juristische', 0.26247501373291016), ('Siegersong', 0.26022249460220337), ('DAAD-Stipendium', 0.2533324956893921), ('Probenwochenende', 0.24842941761016846), ('WM-Aus', 0.24826540052890778), ('Zum_20-jaehrigen', 0.24670588970184326), ('zwoelften_Platz', 0.24271494150161743)] Geldumlauf 0
Circulation [('Feinschliff', 0.2811087965965271), ('Gutes', 0.27470141649246216), ('Besser_lief', 0.2641903758049011), ('Zweite_Juristische', 0.26247501373291016), ('Siegersong', 0.26022249460220337), ('DAAD-Stipendium', 0.2533324956893921), ('Probenwochenende', 0.24842941761016846), ('WM-Aus', 0.24826540052890778), ('Zum_20-jaehrigen', 0.24670588970184326), ('zwoelften_Platz', 0.24271494150161743)] Kreislauf 0
Circulation [('Feinschliff', 0.2811087965965271), ('Gutes', 0.27470141649246216), ('Besser_lief', 0.2641903758049011), ('Zweite_Juristische', 0.26247501373291016), ('Siegersong', 0.26022249460220337), ('DAAD-Stipendium', 0.2533324956893921), ('Probenwochenende', 0.24842941761016846), ('WM-Aus', 0.24826540052890778), ('Zum_20-jaehrigen', 0.24670588970184326), ('zwoelften_Platz', 0.24271494150161743)] Umlauf 0
Circulation [('Feinschliff', 0.2811087965965271), ('Gutes', 0.27470141649246216), ('Besser_lief', 0.2641903758049011), ('Zweite_Juristische', 0.26247501373291016), ('Siegersong', 0.26022249460220337), ('DAAD-Stipendium', 0.2533324956893921), ('Probenwochenende', 0.24842941761016846), ('WM-Aus', 0.24826540052890778), ('Zum_20-jaehrigen', 0.24670588970184326), ('zwoelften_Platz', 0.24271494150161743)] umlaufen 0
Circulation [('Feinschliff', 0.2811087965965271), ('Gutes', 0.27470141649246216), ('Besser_lief', 0.2641903758049011), ('Zweite_Juristische', 0.26247501373291016), ('Siegersong', 0.26022249460220337), ('DAAD-Stipendium', 0.2533324956893921), ('Probenwochenende', 0.24842941761016846), ('WM-Aus', 0.24826540052890778), ('Zum_20-jaehrigen', 0.24670588970184326), ('zwoelften_Platz', 0.24271494150161743)] Zirkulation 0
Circulation [('Feinschliff', 0.2811087965965271), ('Gutes', 0.27470141649246216), ('Besser_lief', 0.2641903758049011), ('Zweite_Juristische', 0.26247501373291016), ('Siegersong', 0.26022249460220337), ('DAAD-Stipendium', 0.2533324956893921), ('Probenwochenende', 0.24842941761016846), ('WM-Aus', 0.24826540052890778), ('Zum_20-jaehrigen', 0.24670588970184326), ('zwoelften_Platz', 0.24271494150161743)] zirkulieren 0
coefficient [('Iwanowna', 0.2769787907600403), ('Lovisa', 0.26113539934158325), ('Alexandrowna', 0.2503151297569275), ('Maerta', 0.24669767916202545), ('juedischen_Glaubensgemeinschaft', 0.2434537410736084), ('Michailowna', 0.23797260224819183), ('Petrowna', 0.2374812215566635), ('de_iure', 0.23045673966407776), ('Gyllenstierna', 0.23017188906669617), ('Sergejewna', 0.23006270825862885)] Koeffizient 0
Constant [('Zinsertraege', 0.22468362748622894), ('Abschlag', 0.21546536684036255), ('Treffer_zwischenzeitlichen', 0.20219163596630096), ('Komtureien', 0.19934147596359253), ('festangestellte', 0.19750815629959106), ('Wasserkraftwerken', 0.19695381820201874), ('Privatradio', 0.19580338895320892), ('Brutpaare', 0.1953059434890747), ('Stromverbrauchs', 0.19495593011379242), ('Unterwassertunnel', 0.19477201998233795)] FEST 0
Constant [('Zinsertraege', 0.22468362748622894), ('Abschlag', 0.21546536684036255), ('Treffer_zwischenzeitlichen', 0.20219163596630096), ('Komtureien', 0.19934147596359253), ('festangestellte', 0.19750815629959106), ('Wasserkraftwerken', 0.19695381820201874), ('Privatradio', 0.19580338895320892), ('Brutpaare', 0.1953059434890747), ('Stromverbrauchs', 0.19495593011379242), ('Unterwassertunnel', 0.19477201998233795)] Konstant 0
Constant [('Zinsertraege', 0.22468362748622894), ('Abschlag', 0.21546536684036255), ('Treffer_zwischenzeitlichen', 0.20219163596630096), ('Komtureien', 0.19934147596359253), ('festangestellte', 0.19750815629959106), ('Wasserkraftwerken', 0.19695381820201874), ('Privatradio', 0.19580338895320892), ('Brutpaare', 0.1953059434890747), ('Stromverbrauchs', 0.19495593011379242), ('Unterwassertunnel', 0.19477201998233795)] Konstante 0
Constant [('Zinsertraege', 0.22468362748622894), ('Abschlag', 0.21546536684036255), ('Treffer_zwischenzeitlichen', 0.20219163596630096), ('Komtureien', 0.19934147596359253), ('festangestellte', 0.19750815629959106), ('Wasserkraftwerken', 0.19695381820201874), ('Privatradio', 0.19580338895320892), ('Brutpaare', 0.1953059434890747), ('Stromverbrauchs', 0.19495593011379242), ('Unterwassertunnel', 0.19477201998233795)] stetig 0
coordinate [('haelt_Rekord', 0.18041293323040009), ('umfangreichsten', 0.17577005922794342), ('dramatischsten', 0.1734059602022171), ('denkwuerdigen', 0.17303991317749023), ('and_Irish', 0.17273950576782227), ('Crucible_Theatre', 0.1683526188135147), ('First-Class_Cricket', 0.16772803664207458), ('zurueckreichenden', 0.16549557447433472), ('Zwoelf_Apostel', 0.16541928052902222), ('gewonnenen', 0.16149677336215973)] Koordinate 0
coordinate [('haelt_Rekord', 0.18041293323040009), ('umfangreichsten', 0.17577005922794342), ('dramatischsten', 0.1734059602022171), ('denkwuerdigen', 0.17303991317749023), ('and_Irish', 0.17273950576782227), ('Crucible_Theatre', 0.1683526188135147), ('First-Class_Cricket', 0.16772803664207458), ('zurueckreichenden', 0.16549557447433472), ('Zwoelf_Apostel', 0.16541928052902222), ('gewonnenen', 0.16149677336215973)] koordinieren 0
COUNT [('1898–1900', 0.23342664539813995), ('Lomersheim', 0.23324283957481384), ('Asselfingen', 0.21896645426750183), ('Humber', 0.21552370488643646), ('Landkreis_Tuttlingen', 0.21507813036441803), ('Titelerbe_Sohn', 0.21346896886825562), ('Mannschaften_stiegen', 0.21066802740097046), ('Berkheim', 0.20996540784835815), ('Chefpilot', 0.20923471450805664), ('St_Dionys', 0.2091127187013626)] Anzahl 0
COUNT [('1898–1900', 0.23342664539813995), ('Lomersheim', 0.23324283957481384), ('Asselfingen', 0.21896645426750183), ('Humber', 0.21552370488643646), ('Landkreis_Tuttlingen', 0.21507813036441803), ('Titelerbe_Sohn', 0.21346896886825562), ('Mannschaften_stiegen', 0.21066802740097046), ('Berkheim', 0.20996540784835815), ('Chefpilot', 0.20923471450805664), ('St_Dionys', 0.2091127187013626)] Graf 0
cube [('Altistin', 0.18043245375156403), ('Amme', 0.17729665338993073), ('Rahmen_Palomar-Leiden-Surveys', 0.17361706495285034), ('Mitstreiterin', 0.17133167386054993), ('Chorleiterin', 0.17081671953201294), ('Mitgruenderin', 0.16971884667873383), ('Sopranistin', 0.1662319302558899), ('Thekla', 0.16560448706150055), ('Ehemalige_Herrschaften', 0.16499686241149902), ('Widerstandsgruppe', 0.15944340825080872)] Kubus 0
Decade [('Imanuel', 0.26179954409599304), ('belehnte_Koenig', 0.2600213289260864), ('Unico', 0.25153353810310364), ('Ulrich_Weizsaecker', 0.24894362688064575), ('Zwei_Wochen', 0.24652236700057983), ('Australien_Delegation', 0.24618946015834808), ('Ihr_aeltester', 0.24235142767429352), ('Robert_Faurisson', 0.24158011376857758), ('Vier_Jahre', 0.24054427444934845), ('Katzenmeier', 0.2401498258113861)] Dekade 0
Decade [('Imanuel', 0.26179954409599304), ('belehnte_Koenig', 0.2600213289260864), ('Unico', 0.25153353810310364), ('Ulrich_Weizsaecker', 0.24894362688064575), ('Zwei_Wochen', 0.24652236700057983), ('Australien_Delegation', 0.24618946015834808), ('Ihr_aeltester', 0.24235142767429352), ('Robert_Faurisson', 0.24158011376857758), ('Vier_Jahre', 0.24054427444934845), ('Katzenmeier', 0.2401498258113861)] Jahrzehnt 0
DECIMAL [('Nebenarme', 0.19231463968753815), ('kuenstlich_angelegtes', 0.19063504040241241), ('Berlins_groesste', 0.1904689073562622), ('schiffbare', 0.18856596946716309), ('Wanderpfad', 0.18245770037174225), ('Siele', 0.17995287477970123), ('Schaalsee', 0.1788972020149231), ('Kilometer_Radfahren', 0.17688532173633575), ('Abteien', 0.17633689939975739), ('Schutzgebiete', 0.1760033518075943)] dezimal 0
DECIMAL [('Nebenarme', 0.19231463968753815), ('kuenstlich_angelegtes', 0.19063504040241241), ('Berlins_groesste', 0.1904689073562622), ('schiffbare', 0.18856596946716309), ('Wanderpfad', 0.18245770037174225), ('Siele', 0.17995287477970123), ('Schaalsee', 0.1788972020149231), ('Kilometer_Radfahren', 0.17688532173633575), ('Abteien', 0.17633689939975739), ('Schutzgebiete', 0.1760033518075943)] Dezimalsystem 0
deficit [('Maritta', 0.2412710338830948), ('Hergarten', 0.23383775353431702), ('Bergstein', 0.2323300838470459), ('Hans-Michael_Rehberg', 0.22938275337219238), ('Kesternich', 0.22864805161952972), ('Autoren_Verlags', 0.22796665132045746), ('Krenzlin', 0.22648745775222778), ('Annabel', 0.2260046750307083), ('Drebenstedt', 0.22558486461639404), ('Lilo', 0.22533255815505981)] Defizit 0
Denominator [('Einen_Hoehepunkt', 0.21760950982570648), ('juengsten_Sohn', 0.21683239936828613), ('Makarios', 0.21472181379795074), ('bekriegten', 0.21348226070404053), ('Einaeugigen', 0.20734940469264984), ('Regentschaften', 0.207012340426445), ('HG', 0.20438750088214874), ('Gefolgsleuten', 0.20424000918865204), ('Skiren', 0.20329062640666962), ('Streitbaren', 0.20085389912128448)] Nenner 0
DEUCE [('Bundes_Landwirte', 0.2428646683692932), ('Friedensresolution', 0.23874342441558838), ('Oesterreichs_KPOe', 0.23483063280582428), ('Gewerkvereine', 0.2345058172941208), ('politisch_aktiv', 0.23221594095230103), ('Schill-Partei', 0.23138374090194702), ('betaetigte_politisch', 0.23082776367664337), ('Unabhaengige_Sozialdemokratische', 0.2305832952260971), ('freigewerkschaftlichen', 0.2303837388753891), ('Reichspartei', 0.22930863499641418)] Einstand 0
difference [('Kapitalvermoegen', 0.2549709379673004), ('Schenkungsteuer', 0.23961500823497772), ('Trakehner', 0.23919928073883057), ('westlichen_Besatzungsmaechte', 0.23783926665782928), ('angesiedelt', 0.23744255304336548), ('rezeptfrei', 0.22848112881183624), ('Handelsnamen', 0.22564056515693665), ('Edelmetalle', 0.22536298632621765), ('Auslandsvermoegen', 0.2231244146823883), ('Divisionen', 0.22239269316196442)] Andersartigkeit 0
difference [('Kapitalvermoegen', 0.2549709379673004), ('Schenkungsteuer', 0.23961500823497772), ('Trakehner', 0.23919928073883057), ('westlichen_Besatzungsmaechte', 0.23783926665782928), ('angesiedelt', 0.23744255304336548), ('rezeptfrei', 0.22848112881183624), ('Handelsnamen', 0.22564056515693665), ('Edelmetalle', 0.22536298632621765), ('Auslandsvermoegen', 0.2231244146823883), ('Divisionen', 0.22239269316196442)] Anderssein 0
difference [('Kapitalvermoegen', 0.2549709379673004), ('Schenkungsteuer', 0.23961500823497772), ('Trakehner', 0.23919928073883057), ('westlichen_Besatzungsmaechte', 0.23783926665782928), ('angesiedelt', 0.23744255304336548), ('rezeptfrei', 0.22848112881183624), ('Handelsnamen', 0.22564056515693665), ('Edelmetalle', 0.22536298632621765), ('Auslandsvermoegen', 0.2231244146823883), ('Divisionen', 0.22239269316196442)] Differenz 0
difference [('Kapitalvermoegen', 0.2549709379673004), ('Schenkungsteuer', 0.23961500823497772), ('Trakehner', 0.23919928073883057), ('westlichen_Besatzungsmaechte', 0.23783926665782928), ('angesiedelt', 0.23744255304336548), ('rezeptfrei', 0.22848112881183624), ('Handelsnamen', 0.22564056515693665), ('Edelmetalle', 0.22536298632621765), ('Auslandsvermoegen', 0.2231244146823883), ('Divisionen', 0.22239269316196442)] differenzieren 0
