ABSENCE [('unnuetzer', 0.32383665442466736), ('lasterhaften', 0.31562933325767517), ('Schreder', 0.3116143047809601), ('Saegewerksbesitzer', 0.3084868788719177), ('unordentlichen', 0.30630046129226685), ('Stappert', 0.3059637248516083), ('Krammel', 0.30497029423713684), ('Thiels', 0.2968589663505554), ('Stanke', 0.2965641915798187), ('Beachtung_schenken', 0.2946451008319855)] Abwesenheit 0
acre [('Stift_Sankt', 0.21178734302520752), ('Maria_Laach', 0.21113605797290802), ('Papst_Leo', 0.20764656364917755), ('Schneide-', 0.20615196228027344), ('Erscheinungsbild_Laubblatt', 0.20445673167705536), ('Kreuzbein', 0.2035302370786667), ('Placidus', 0.19881010055541992), ('I_Barbarossa', 0.1953965574502945), ('Kreuzgangs', 0.19349825382232666), ('Papst_Gregor', 0.1919170320034027)] Joch 0
Add [('Grossen_Kreisstadt', 0.2690803110599518), ('Bezirk_Marzahn-Hellersdorf', 0.24883216619491577), ('Buttenhausen', 0.2464744746685028), ('noerdliche_Teil', 0.2434692531824112), ('Nowoje', 0.24341610074043274), ('Helmbrechtser', 0.2347799837589264), ('Bad_Orber', 0.2338906228542328), ('Berlin-Friedrichsfelde', 0.2308885157108307), ('Christo_Botew', 0.22832757234573364), ('Homburger', 0.2272261381149292)] Addieren 0
Add [('Grossen_Kreisstadt', 0.2690803110599518), ('Bezirk_Marzahn-Hellersdorf', 0.24883216619491577), ('Buttenhausen', 0.2464744746685028), ('noerdliche_Teil', 0.2434692531824112), ('Nowoje', 0.24341610074043274), ('Helmbrechtser', 0.2347799837589264), ('Bad_Orber', 0.2338906228542328), ('Berlin-Friedrichsfelde', 0.2308885157108307), ('Christo_Botew', 0.22832757234573364), ('Homburger', 0.2272261381149292)] Addieren 0
addition [('Generalstabslehrgang_Fuehrungsakademie', 0.30434414744377136), ('Hauptsendezeit', 0.2819529175758362), ('Moderator_Tagesthemen', 0.27767276763916016), ('Hoerfunkdirektor', 0.2742837965488434), ('Redezeit', 0.26848104596138), ('Wissenschaftlicher_Mitarbeiter', 0.2669227719306946), ('Assistent_Geschaeftsleitung', 0.2658250629901886), ('Tagesthemen', 0.265024334192276), ('Sigmar', 0.2650085985660553), ('Vizebuergermeister_gewaehlt', 0.26390549540519714)] Addition 0
addition [('Generalstabslehrgang_Fuehrungsakademie', 0.30434414744377136), ('Hauptsendezeit', 0.2819529175758362), ('Moderator_Tagesthemen', 0.27767276763916016), ('Hoerfunkdirektor', 0.2742837965488434), ('Redezeit', 0.26848104596138), ('Wissenschaftlicher_Mitarbeiter', 0.2669227719306946), ('Assistent_Geschaeftsleitung', 0.2658250629901886), ('Tagesthemen', 0.265024334192276), ('Sigmar', 0.2650085985660553), ('Vizebuergermeister_gewaehlt', 0.26390549540519714)] Zusatz 0
Advantage [('Umgehend', 0.2355884313583374), ('Psychical_Research', 0.23258844017982483), ('Universitaet_Oxford', 0.22905540466308594), ('TU', 0.227992981672287), ('Lehramts', 0.22738854587078094), ('Gleichzeit', 0.22629410028457642), ('Vereinsfarben', 0.21934448182582855), ('Dyba', 0.21825480461120605), ('geweihten', 0.2180590033531189), ('Paulussen', 0.21785032749176025)] Vorteil 0
Advantage [('Umgehend', 0.2355884313583374), ('Psychical_Research', 0.23258844017982483), ('Universitaet_Oxford', 0.22905540466308594), ('TU', 0.227992981672287), ('Lehramts', 0.22738854587078094), ('Gleichzeit', 0.22629410028457642), ('Vereinsfarben', 0.21934448182582855), ('Dyba', 0.21825480461120605), ('geweihten', 0.2180590033531189), ('Paulussen', 0.21785032749176025)] Vorteil 0
Advantage [('Umgehend', 0.2355884313583374), ('Psychical_Research', 0.23258844017982483), ('Universitaet_Oxford', 0.22905540466308594), ('TU', 0.227992981672287), ('Lehramts', 0.22738854587078094), ('Gleichzeit', 0.22629410028457642), ('Vereinsfarben', 0.21934448182582855), ('Dyba', 0.21825480461120605), ('geweihten', 0.2180590033531189), ('Paulussen', 0.21785032749176025)] Vorzug 0
Advantage [('Umgehend', 0.2355884313583374), ('Psychical_Research', 0.23258844017982483), ('Universitaet_Oxford', 0.22905540466308594), ('TU', 0.227992981672287), ('Lehramts', 0.22738854587078094), ('Gleichzeit', 0.22629410028457642), ('Vereinsfarben', 0.21934448182582855), ('Dyba', 0.21825480461120605), ('geweihten', 0.2180590033531189), ('Paulussen', 0.21785032749176025)] Vorteil 0
Age [('Videopremiere', 0.21952523291110992), ('Pay-per-View', 0.21277529001235962), ('Innenminister_Lorenz', 0.21226990222930908), ('Greet', 0.21146836876869202), ('Stargast', 0.21000632643699646), ('Presleys', 0.20692262053489685), ('Auftakt', 0.2064550518989563), ('kurzfristig_anberaumten', 0.20519791543483734), ('Drinking', 0.20491641759872437), ('weiterer_Hoehepunkt', 0.20373323559761047)] generation 0
Age [('Videopremiere', 0.21952523291110992), ('Pay-per-View', 0.21277529001235962), ('Innenminister_Lorenz', 0.21226990222930908), ('Greet', 0.21146836876869202), ('Stargast', 0.21000632643699646), ('Presleys', 0.20692262053489685), ('Auftakt', 0.2064550518989563), ('kurzfristig_anberaumten', 0.20519791543483734), ('Drinking', 0.20491641759872437), ('weiterer_Hoehepunkt', 0.20373323559761047)] Zeitalter 0
Age [('Videopremiere', 0.21952523291110992), ('Pay-per-View', 0.21277529001235962), ('Innenminister_Lorenz', 0.21226990222930908), ('Greet', 0.21146836876869202), ('Stargast', 0.21000632643699646), ('Presleys', 0.20692262053489685), ('Auftakt', 0.2064550518989563), ('kurzfristig_anberaumten', 0.20519791543483734), ('Drinking', 0.20491641759872437), ('weiterer_Hoehepunkt', 0.20373323559761047)] Alter 0
Age [('Videopremiere', 0.21952523291110992), ('Pay-per-View', 0.21277529001235962), ('Innenminister_Lorenz', 0.21226990222930908), ('Greet', 0.21146836876869202), ('Stargast', 0.21000632643699646), ('Presleys', 0.20692262053489685), ('Auftakt', 0.2064550518989563), ('kurzfristig_anberaumten', 0.20519791543483734), ('Drinking', 0.20491641759872437), ('weiterer_Hoehepunkt', 0.20373323559761047)] Alter 0
Age [('Videopremiere', 0.21952523291110992), ('Pay-per-View', 0.21277529001235962), ('Innenminister_Lorenz', 0.21226990222930908), ('Greet', 0.21146836876869202), ('Stargast', 0.21000632643699646), ('Presleys', 0.20692262053489685), ('Auftakt', 0.2064550518989563), ('kurzfristig_anberaumten', 0.20519791543483734), ('Drinking', 0.20491641759872437), ('weiterer_Hoehepunkt', 0.20373323559761047)] zeit 0
Age [('Videopremiere', 0.21952523291110992), ('Pay-per-View', 0.21277529001235962), ('Innenminister_Lorenz', 0.21226990222930908), ('Greet', 0.21146836876869202), ('Stargast', 0.21000632643699646), ('Presleys', 0.20692262053489685), ('Auftakt', 0.2064550518989563), ('kurzfristig_anberaumten', 0.20519791543483734), ('Drinking', 0.20491641759872437), ('weiterer_Hoehepunkt', 0.20373323559761047)] Epoche 0
Age [('Videopremiere', 0.21952523291110992), ('Pay-per-View', 0.21277529001235962), ('Innenminister_Lorenz', 0.21226990222930908), ('Greet', 0.21146836876869202), ('Stargast', 0.21000632643699646), ('Presleys', 0.20692262053489685), ('Auftakt', 0.2064550518989563), ('kurzfristig_anberaumten', 0.20519791543483734), ('Drinking', 0.20491641759872437), ('weiterer_Hoehepunkt', 0.20373323559761047)] Periode 0
Age [('Videopremiere', 0.21952523291110992), ('Pay-per-View', 0.21277529001235962), ('Innenminister_Lorenz', 0.21226990222930908), ('Greet', 0.21146836876869202), ('Stargast', 0.21000632643699646), ('Presleys', 0.20692262053489685), ('Auftakt', 0.2064550518989563), ('kurzfristig_anberaumten', 0.20519791543483734), ('Drinking', 0.20491641759872437), ('weiterer_Hoehepunkt', 0.20373323559761047)] Alter 0
Age [('Videopremiere', 0.21952523291110992), ('Pay-per-View', 0.21277529001235962), ('Innenminister_Lorenz', 0.21226990222930908), ('Greet', 0.21146836876869202), ('Stargast', 0.21000632643699646), ('Presleys', 0.20692262053489685), ('Auftakt', 0.2064550518989563), ('kurzfristig_anberaumten', 0.20519791543483734), ('Drinking', 0.20491641759872437), ('weiterer_Hoehepunkt', 0.20373323559761047)] Lebenszeit 0
Age [('Videopremiere', 0.21952523291110992), ('Pay-per-View', 0.21277529001235962), ('Innenminister_Lorenz', 0.21226990222930908), ('Greet', 0.21146836876869202), ('Stargast', 0.21000632643699646), ('Presleys', 0.20692262053489685), ('Auftakt', 0.2064550518989563), ('kurzfristig_anberaumten', 0.20519791543483734), ('Drinking', 0.20491641759872437), ('weiterer_Hoehepunkt', 0.20373323559761047)] Altern 0
Age [('Videopremiere', 0.21952523291110992), ('Pay-per-View', 0.21277529001235962), ('Innenminister_Lorenz', 0.21226990222930908), ('Greet', 0.21146836876869202), ('Stargast', 0.21000632643699646), ('Presleys', 0.20692262053489685), ('Auftakt', 0.2064550518989563), ('kurzfristig_anberaumten', 0.20519791543483734), ('Drinking', 0.20491641759872437), ('weiterer_Hoehepunkt', 0.20373323559761047)] vergreisen 0
Age [('Videopremiere', 0.21952523291110992), ('Pay-per-View', 0.21277529001235962), ('Innenminister_Lorenz', 0.21226990222930908), ('Greet', 0.21146836876869202), ('Stargast', 0.21000632643699646), ('Presleys', 0.20692262053489685), ('Auftakt', 0.2064550518989563), ('kurzfristig_anberaumten', 0.20519791543483734), ('Drinking', 0.20491641759872437), ('weiterer_Hoehepunkt', 0.20373323559761047)] Reifen 0
amount [('BHS', 0.24721068143844604), ('ADF', 0.24057570099830627), ('Durnwalder', 0.2394103705883026), ('Christlichsozialen_Partei', 0.23256736993789673), ('neuentstandenen', 0.23117241263389587), ('Wilhelm_Hasenclever', 0.22843176126480103), ('Umgebung_keltischen', 0.22827498614788055), ('Landesstatthalter', 0.22815339267253876), ('Handelsakademie', 0.22801263630390167), ('Robert_Lugar', 0.22100301086902618)] Menge 0
amount [('BHS', 0.24721068143844604), ('ADF', 0.24057570099830627), ('Durnwalder', 0.2394103705883026), ('Christlichsozialen_Partei', 0.23256736993789673), ('neuentstandenen', 0.23117241263389587), ('Wilhelm_Hasenclever', 0.22843176126480103), ('Umgebung_keltischen', 0.22827498614788055), ('Landesstatthalter', 0.22815339267253876), ('Handelsakademie', 0.22801263630390167), ('Robert_Lugar', 0.22100301086902618)] Anzahl 0
amount [('BHS', 0.24721068143844604), ('ADF', 0.24057570099830627), ('Durnwalder', 0.2394103705883026), ('Christlichsozialen_Partei', 0.23256736993789673), ('neuentstandenen', 0.23117241263389587), ('Wilhelm_Hasenclever', 0.22843176126480103), ('Umgebung_keltischen', 0.22827498614788055), ('Landesstatthalter', 0.22815339267253876), ('Handelsakademie', 0.22801263630390167), ('Robert_Lugar', 0.22100301086902618)] Menge 0
amount [('BHS', 0.24721068143844604), ('ADF', 0.24057570099830627), ('Durnwalder', 0.2394103705883026), ('Christlichsozialen_Partei', 0.23256736993789673), ('neuentstandenen', 0.23117241263389587), ('Wilhelm_Hasenclever', 0.22843176126480103), ('Umgebung_keltischen', 0.22827498614788055), ('Landesstatthalter', 0.22815339267253876), ('Handelsakademie', 0.22801263630390167), ('Robert_Lugar', 0.22100301086902618)] Betrag 0
Are [('spritziger', 0.2425113469362259), ('muede', 0.2306804209947586), ('blitzschnelle', 0.2302311807870865), ('unnoetiges_Risiko', 0.22589214146137238), ('Kopfsache', 0.2241382598876953), ('Ernaehrungsplan', 0.22303034365177155), ('geradliniger', 0.2203022539615631), ('Initiativbewerbung', 0.22024886310100555), ('technisch_anspruchsvoller', 0.2195960283279419), ('Topiramat', 0.21771055459976196)] ar 0
Are [('spritziger', 0.2425113469362259), ('muede', 0.2306804209947586), ('blitzschnelle', 0.2302311807870865), ('unnoetiges_Risiko', 0.22589214146137238), ('Kopfsache', 0.2241382598876953), ('Ernaehrungsplan', 0.22303034365177155), ('geradliniger', 0.2203022539615631), ('Initiativbewerbung', 0.22024886310100555), ('technisch_anspruchsvoller', 0.2195960283279419), ('Topiramat', 0.21771055459976196)] Sind 0
Are [('spritziger', 0.2425113469362259), ('muede', 0.2306804209947586), ('blitzschnelle', 0.2302311807870865), ('unnoetiges_Risiko', 0.22589214146137238), ('Kopfsache', 0.2241382598876953), ('Ernaehrungsplan', 0.22303034365177155), ('geradliniger', 0.2203022539615631), ('Initiativbewerbung', 0.22024886310100555), ('technisch_anspruchsvoller', 0.2195960283279419), ('Topiramat', 0.21771055459976196)] Seid 0
Are [('spritziger', 0.2425113469362259), ('muede', 0.2306804209947586), ('blitzschnelle', 0.2302311807870865), ('unnoetiges_Risiko', 0.22589214146137238), ('Kopfsache', 0.2241382598876953), ('Ernaehrungsplan', 0.22303034365177155), ('geradliniger', 0.2203022539615631), ('Initiativbewerbung', 0.22024886310100555), ('technisch_anspruchsvoller', 0.2195960283279419), ('Topiramat', 0.21771055459976196)] Sind 0
Are [('spritziger', 0.2425113469362259), ('muede', 0.2306804209947586), ('blitzschnelle', 0.2302311807870865), ('unnoetiges_Risiko', 0.22589214146137238), ('Kopfsache', 0.2241382598876953), ('Ernaehrungsplan', 0.22303034365177155), ('geradliniger', 0.2203022539615631), ('Initiativbewerbung', 0.22024886310100555), ('technisch_anspruchsvoller', 0.2195960283279419), ('Topiramat', 0.21771055459976196)] Bist 0
Are [('spritziger', 0.2425113469362259), ('muede', 0.2306804209947586), ('blitzschnelle', 0.2302311807870865), ('unnoetiges_Risiko', 0.22589214146137238), ('Kopfsache', 0.2241382598876953), ('Ernaehrungsplan', 0.22303034365177155), ('geradliniger', 0.2203022539615631), ('Initiativbewerbung', 0.22024886310100555), ('technisch_anspruchsvoller', 0.2195960283279419), ('Topiramat', 0.21771055459976196)] Sind 0
Are [('spritziger', 0.2425113469362259), ('muede', 0.2306804209947586), ('blitzschnelle', 0.2302311807870865), ('unnoetiges_Risiko', 0.22589214146137238), ('Kopfsache', 0.2241382598876953), ('Ernaehrungsplan', 0.22303034365177155), ('geradliniger', 0.2203022539615631), ('Initiativbewerbung', 0.22024886310100555), ('technisch_anspruchsvoller', 0.2195960283279419), ('Topiramat', 0.21771055459976196)] Sind 0
Ares [('Christian_Levin', 0.2133324146270752), ('BCS', 0.20857149362564087), ('Marke_9000', 0.20683008432388306), ('eigenstaendiger_Verein', 0.2042570561170578), ('Staatsfinanzverwaltung_Koenigreich', 0.2040688544511795), ('MKV', 0.20326606929302216), ('Deckgebirge', 0.20175276696681976), ('DOM', 0.2011665403842926), ('Verbundnetz', 0.2010183334350586), ('inflationsbedingt', 0.19849082827568054)] Ares 0
ARGUMENT [('Wenngleich', 0.30424487590789795), ('Alterung', 0.30184558033943176), ('auskomme', 0.3006490468978882), ('Ganz_abgesehen', 0.29882410168647766), ('Schantl', 0.29876455664634705), ('Karl_Goelsdorf', 0.2959256172180176), ('veraendernde', 0.2932074964046478), ('Schoeffel', 0.29287439584732056), ('Commenda', 0.29109781980514526), ('tadelte', 0.2884593605995178)] argument 0
ARGUMENT [('Wenngleich', 0.30424487590789795), ('Alterung', 0.30184558033943176), ('auskomme', 0.3006490468978882), ('Ganz_abgesehen', 0.29882410168647766), ('Schantl', 0.29876455664634705), ('Karl_Goelsdorf', 0.2959256172180176), ('veraendernde', 0.2932074964046478), ('Schoeffel', 0.29287439584732056), ('Commenda', 0.29109781980514526), ('tadelte', 0.2884593605995178)] argument 0
ARGUMENT [('Wenngleich', 0.30424487590789795), ('Alterung', 0.30184558033943176), ('auskomme', 0.3006490468978882), ('Ganz_abgesehen', 0.29882410168647766), ('Schantl', 0.29876455664634705), ('Karl_Goelsdorf', 0.2959256172180176), ('veraendernde', 0.2932074964046478), ('Schoeffel', 0.29287439584732056), ('Commenda', 0.29109781980514526), ('tadelte', 0.2884593605995178)] Argumentation 0
ARGUMENT [('Wenngleich', 0.30424487590789795), ('Alterung', 0.30184558033943176), ('auskomme', 0.3006490468978882), ('Ganz_abgesehen', 0.29882410168647766), ('Schantl', 0.29876455664634705), ('Karl_Goelsdorf', 0.2959256172180176), ('veraendernde', 0.2932074964046478), ('Schoeffel', 0.29287439584732056), ('Commenda', 0.29109781980514526), ('tadelte', 0.2884593605995178)] Argumentation 0
ARGUMENT [('Wenngleich', 0.30424487590789795), ('Alterung', 0.30184558033943176), ('auskomme', 0.3006490468978882), ('Ganz_abgesehen', 0.29882410168647766), ('Schantl', 0.29876455664634705), ('Karl_Goelsdorf', 0.2959256172180176), ('veraendernde', 0.2932074964046478), ('Schoeffel', 0.29287439584732056), ('Commenda', 0.29109781980514526), ('tadelte', 0.2884593605995178)] THEMA 0
ARGUMENT [('Wenngleich', 0.30424487590789795), ('Alterung', 0.30184558033943176), ('auskomme', 0.3006490468978882), ('Ganz_abgesehen', 0.29882410168647766), ('Schantl', 0.29876455664634705), ('Karl_Goelsdorf', 0.2959256172180176), ('veraendernde', 0.2932074964046478), ('Schoeffel', 0.29287439584732056), ('Commenda', 0.29109781980514526), ('tadelte', 0.2884593605995178)] THEMA 0
ARGUMENT [('Wenngleich', 0.30424487590789795), ('Alterung', 0.30184558033943176), ('auskomme', 0.3006490468978882), ('Ganz_abgesehen', 0.29882410168647766), ('Schantl', 0.29876455664634705), ('Karl_Goelsdorf', 0.2959256172180176), ('veraendernde', 0.2932074964046478), ('Schoeffel', 0.29287439584732056), ('Commenda', 0.29109781980514526), ('tadelte', 0.2884593605995178)] argument 0
ARGUMENT [('Wenngleich', 0.30424487590789795), ('Alterung', 0.30184558033943176), ('auskomme', 0.3006490468978882), ('Ganz_abgesehen', 0.29882410168647766), ('Schantl', 0.29876455664634705), ('Karl_Goelsdorf', 0.2959256172180176), ('veraendernde', 0.2932074964046478), ('Schoeffel', 0.29287439584732056), ('Commenda', 0.29109781980514526), ('tadelte', 0.2884593605995178)] argument 0
ARGUMENT [('Wenngleich', 0.30424487590789795), ('Alterung', 0.30184558033943176), ('auskomme', 0.3006490468978882), ('Ganz_abgesehen', 0.29882410168647766), ('Schantl', 0.29876455664634705), ('Karl_Goelsdorf', 0.2959256172180176), ('veraendernde', 0.2932074964046478), ('Schoeffel', 0.29287439584732056), ('Commenda', 0.29109781980514526), ('tadelte', 0.2884593605995178)] Streit 0
ARGUMENT [('Wenngleich', 0.30424487590789795), ('Alterung', 0.30184558033943176), ('auskomme', 0.3006490468978882), ('Ganz_abgesehen', 0.29882410168647766), ('Schantl', 0.29876455664634705), ('Karl_Goelsdorf', 0.2959256172180176), ('veraendernde', 0.2932074964046478), ('Schoeffel', 0.29287439584732056), ('Commenda', 0.29109781980514526), ('tadelte', 0.2884593605995178)] Streit 0
ARGUMENT [('Wenngleich', 0.30424487590789795), ('Alterung', 0.30184558033943176), ('auskomme', 0.3006490468978882), ('Ganz_abgesehen', 0.29882410168647766), ('Schantl', 0.29876455664634705), ('Karl_Goelsdorf', 0.2959256172180176), ('veraendernde', 0.2932074964046478), ('Schoeffel', 0.29287439584732056), ('Commenda', 0.29109781980514526), ('tadelte', 0.2884593605995178)] Diskussion 0
ARGUMENT [('Wenngleich', 0.30424487590789795), ('Alterung', 0.30184558033943176), ('auskomme', 0.3006490468978882), ('Ganz_abgesehen', 0.29882410168647766), ('Schantl', 0.29876455664634705), ('Karl_Goelsdorf', 0.2959256172180176), ('veraendernde', 0.2932074964046478), ('Schoeffel', 0.29287439584732056), ('Commenda', 0.29109781980514526), ('tadelte', 0.2884593605995178)] Diskussion 0
Artel [('Prinz_William', 0.22769878804683685), ('Pontifex_maximus', 0.20825913548469543), ('Middleton', 0.20611880719661713), ('Herzogin_Kate', 0.2059025764465332), ('per_Hand', 0.20299017429351807), ('Bischofsweihe', 0.19888228178024292), ('Prinz_George', 0.19753813743591309), ('Etikette', 0.19708949327468872), ('Absolution', 0.196786567568779), ('Minto', 0.191775381565094)] Artel 0
ATM [('Voelkerfreundschaft', 0.25881826877593994), ('Lehrenden_Studierenden', 0.24285107851028442), ('Franzoesisch_Niederlaendisch', 0.24239368736743927), ('Rundfunkstaatsvertrag', 0.2376045137643814), ('Orientierungshilfen', 0.23226182162761688), ('Ueberoertliche', 0.231532022356987), ('Studienleistungen', 0.2299465835094452), ('Gewaltfreiheit', 0.22938774526119232), ('Rothwesten', 0.22931739687919617), ('Orientierung', 0.2289658635854721)] Geldautomat 0
ATM [('Voelkerfreundschaft', 0.25881826877593994), ('Lehrenden_Studierenden', 0.24285107851028442), ('Franzoesisch_Niederlaendisch', 0.24239368736743927), ('Rundfunkstaatsvertrag', 0.2376045137643814), ('Orientierungshilfen', 0.23226182162761688), ('Ueberoertliche', 0.231532022356987), ('Studienleistungen', 0.2299465835094452), ('Gewaltfreiheit', 0.22938774526119232), ('Rothwesten', 0.22931739687919617), ('Orientierung', 0.2289658635854721)] Bankomat 0
b [('Chromschmuck', 0.23008856177330017), ('Carlone', 0.22833232581615448), ('Auris', 0.21993352472782135), ('Euro-5-Norm', 0.21884964406490326), ('pompoes', 0.21882429718971252), ('Theodolit', 0.2186063826084137), ('seitengesteuerte', 0.21757569909095764), ('Sicherheitsausstattung', 0.21756501495838165), ('Nardò', 0.21671266853809357), ('bullig', 0.21527118980884552)] h 0
b [('Chromschmuck', 0.23008856177330017), ('Carlone', 0.22833232581615448), ('Auris', 0.21993352472782135), ('Euro-5-Norm', 0.21884964406490326), ('pompoes', 0.21882429718971252), ('Theodolit', 0.2186063826084137), ('seitengesteuerte', 0.21757569909095764), ('Sicherheitsausstattung', 0.21756501495838165), ('Nardò', 0.21671266853809357), ('bullig', 0.21527118980884552)] h 0
Bag [('Bundesverfassungsgericht', 0.22178000211715698), ('Verfassungsbeschwerde', 0.2209693044424057), ('Durchfuehrungsverordnung', 0.2175523042678833), ('Weltraumflug', 0.21554554998874664), ('Landeversuch', 0.210799902677536), ('Atombombentest', 0.2095107138156891), ('Weimarer_Verfassung', 0.20925728976726532), ('Weltraums', 0.20816513895988464), ('Raumfluegen', 0.20793083310127258), ('Apollo_11', 0.20748281478881836)] Beutel 0
Bag [('Bundesverfassungsgericht', 0.22178000211715698), ('Verfassungsbeschwerde', 0.2209693044424057), ('Durchfuehrungsverordnung', 0.2175523042678833), ('Weltraumflug', 0.21554554998874664), ('Landeversuch', 0.210799902677536), ('Atombombentest', 0.2095107138156891), ('Weimarer_Verfassung', 0.20925728976726532), ('Weltraums', 0.20816513895988464), ('Raumfluegen', 0.20793083310127258), ('Apollo_11', 0.20748281478881836)] Beutel 0
Bag [('Bundesverfassungsgericht', 0.22178000211715698), ('Verfassungsbeschwerde', 0.2209693044424057), ('Durchfuehrungsverordnung', 0.2175523042678833), ('Weltraumflug', 0.21554554998874664), ('Landeversuch', 0.210799902677536), ('Atombombentest', 0.2095107138156891), ('Weimarer_Verfassung', 0.20925728976726532), ('Weltraums', 0.20816513895988464), ('Raumfluegen', 0.20793083310127258), ('Apollo_11', 0.20748281478881836)] Tasche 0
Bag [('Bundesverfassungsgericht', 0.22178000211715698), ('Verfassungsbeschwerde', 0.2209693044424057), ('Durchfuehrungsverordnung', 0.2175523042678833), ('Weltraumflug', 0.21554554998874664), ('Landeversuch', 0.210799902677536), ('Atombombentest', 0.2095107138156891), ('Weimarer_Verfassung', 0.20925728976726532), ('Weltraums', 0.20816513895988464), ('Raumfluegen', 0.20793083310127258), ('Apollo_11', 0.20748281478881836)] Tasche 0
